review_code,review_rating
2005-06-04,5.0
2005-07-09,5.0
2005-10-29,3.0
2005-12-10,1.0
2006-01-28,3.0
2006-03-11,4.0
2006-06-17,5.0
2006-10-07,3.0
2006-12-02,1.0
2006-12-09,4.0
2007-01-27,3.0
2007-04-21,5.0
2007-05-12,4.0
2007-07-14,3.0
2007-10-06,4.0
2008-01-26,2.0
2008-07-05,4.0
2008-08-02,1.0
2008-12-06,5.0
2009-02-07,4.0
2009-03-07,2.0
2009-03-28,3.0
2009-05-16,3.0
2009-06-13,2.0
2009-08-22,4.0
2009-10-03,4.0
2009-10-10,3.0
2009-10-17,3.0
2010-01-16,3.0
2010-01-30,2.0
2010-04-24,1.0
2010-12-25,3.0
2011-02-26,4.0
2011-05-07,5.0
2011-08-20,5.0
2011-10-08,4.0
2011-12-24,5.0
2012-01-07,4.0
2012-02-18,4.0
2012-02-25,4.0
2012-10-27,1.0
2012-11-17,3.0
2012-12-29,4.0
2013-05-25,4.0
2013-06-01,4.333333333333333
2013-06-08,3.0
2013-06-15,3.25
2013-06-22,3.5
2013-06-29,3.6666666666666665
2013-07-06,4.5
2013-07-13,4.0
2013-07-20,4.75
2013-07-27,4.5
2013-08-03,4.0
2013-08-10,5.0
2013-08-17,4.333333333333333
2013-08-24,3.6
2013-08-31,4.25
2013-09-07,5.0
2013-09-14,5.0
2013-09-21,4.5
2013-09-28,4.5
2013-10-05,3.5
2013-10-12,3.5
2013-10-19,4.0
2013-10-26,3.75
2013-11-02,3.75
2013-11-16,4.0
2013-11-23,5.0
2013-11-30,4.0
2013-12-07,4.333333333333333
2013-12-14,5.0
2013-12-21,4.666666666666667
2013-12-28,4.2
2014-01-04,5.0
2014-01-11,3.6666666666666665
2014-01-18,4.5
2014-01-25,4.2
2014-02-01,4.25
2014-02-08,5.0
2014-02-15,4.0
2014-02-22,4.5
2014-03-01,3.8333333333333335
2014-03-08,5.0
2014-03-15,4.0
2014-03-22,4.666666666666667
2014-03-29,4.8
2014-04-05,4.0
2014-04-12,4.5
2014-04-19,4.0
2014-04-26,4.75
2014-05-03,5.0
2014-05-17,5.0
2014-05-31,5.0
2014-06-07,4.5
2014-06-14,4.4
2014-06-21,4.8
2014-06-28,5.0
2014-07-05,4.125
2014-07-12,4.375
2014-07-19,4.333333333333333
2014-07-26,4.571428571428571
2014-08-02,4.428571428571429
2014-08-09,4.666666666666667
2014-08-16,4.5
2014-08-23,3.2
2014-08-30,3.0
2014-09-06,4.666666666666667
2014-09-13,3.75
2014-09-20,3.5
2014-09-27,4.0
2014-10-04,4.5
2014-10-11,4.25
2014-10-18,4.333333333333333
2014-10-25,4.75
2014-11-01,4.0
2014-11-08,3.5714285714285716
2014-11-15,3.0
2014-11-22,3.0
2014-11-29,5.0
2014-12-06,4.75
2014-12-13,3.5
2014-12-20,4.0
2014-12-27,4.8
2015-01-03,3.3333333333333335
2015-01-10,4.0
2015-01-17,3.6666666666666665
2015-01-24,4.333333333333333
2015-01-31,4.333333333333333
2015-02-07,4.5
2015-02-14,4.6
2015-02-21,4.0
2015-02-28,4.285714285714286
2015-03-07,4.857142857142857
2015-03-14,4.5
2015-03-21,2.6666666666666665
2015-03-28,3.6875
2015-04-04,2.5
2015-04-11,3.857142857142857
2015-04-18,4.111111111111111
2015-04-25,4.111111111111111
2015-05-02,3.3636363636363638
2015-05-09,4.0
2015-05-16,4.333333333333333
2015-05-23,3.909090909090909
2015-05-30,3.0
2015-06-06,4.4
2015-06-13,3.0
2015-06-20,4.0
2015-06-27,4.333333333333333
2015-07-04,4.5
2015-07-11,4.0
2015-07-18,4.333333333333333
2015-07-25,4.25
2015-08-01,3.4
2015-08-08,4.636363636363637
2015-08-15,4.285714285714286
2015-08-22,3.8
2015-08-29,4.6
2015-09-05,3.8
2015-09-12,4.0
2015-09-19,3.0
2015-09-26,3.25
2015-10-03,4.666666666666667
2015-10-10,4.571428571428571
2015-10-17,4.166666666666667
2015-10-24,3.1666666666666665
2015-10-31,3.75
2015-11-07,4.5
2015-11-14,4.625
2015-11-21,4.25
2015-11-28,3.625
2015-12-05,5.0
2015-12-12,4.333333333333333
2015-12-19,4.0
2015-12-26,4.5
2016-01-02,4.111111111111111
2016-01-09,3.888888888888889
2016-01-16,4.285714285714286
2016-01-23,3.6666666666666665
2016-01-30,5.0
2016-02-06,4.0
2016-02-13,3.857142857142857
2016-02-20,4.333333333333333
2016-02-27,4.25
2016-03-05,4.666666666666667
2016-03-12,4.375
2016-03-19,4.571428571428571
2016-03-26,4.142857142857143
2016-04-02,4.375
2016-04-09,4.666666666666667
2016-04-16,4.25
2016-04-23,4.7
2016-04-30,4.5
2016-05-07,3.0
2016-05-14,3.6666666666666665
2016-05-21,4.222222222222222
2016-05-28,4.0
2016-06-04,4.0
2016-06-11,4.666666666666667
2016-06-18,3.0
2016-06-25,4.8
2016-07-02,4.0
2016-07-09,4.25
2016-07-16,4.666666666666667
2016-07-23,3.3333333333333335
2016-07-30,5.0
2016-08-06,3.6
2016-08-13,4.0
2016-08-20,4.0
2016-08-27,3.5
2016-09-03,3.857142857142857
2016-09-10,5.0
2016-09-17,4.0
2016-09-24,5.0
2016-10-01,4.714285714285714
2016-10-08,3.0
2016-10-15,5.0
2016-10-22,5.0
2016-10-29,3.5
2016-11-05,4.666666666666667
2016-11-12,4.666666666666667
2016-11-19,4.4
2016-11-26,4.1
2016-12-03,4.8
2016-12-10,3.0
2016-12-17,4.708333333333333
2016-12-24,3.8
2016-12-31,3.6666666666666665
2017-01-07,4.222222222222222
2017-01-14,4.285714285714286
2017-01-21,4.333333333333333
2017-01-28,4.0
2017-02-04,4.0
2017-02-18,5.0
2017-02-25,4.5
2017-03-04,3.6666666666666665
2017-03-11,3.5
2017-03-18,4.111111111111111
2017-03-25,3.5
2017-04-01,4.0
2017-04-08,4.333333333333333
2017-04-15,3.75
2017-04-22,4.333333333333333
2017-04-29,3.75
2017-05-06,3.857142857142857
2017-05-13,3.5
2017-05-20,5.0
2017-05-27,3.3333333333333335
2017-06-03,3.888888888888889
2017-06-17,4.75
2017-06-24,3.8
2017-07-01,3.0
2017-07-08,2.9
2017-07-15,3.6666666666666665
2017-07-22,4.2
2017-08-05,3.8
2017-08-12,4.285714285714286
2017-08-19,4.0
2017-08-26,3.111111111111111
2017-09-02,4.428571428571429
2017-09-09,3.0
2017-09-16,3.4
2017-09-23,4.333333333333333
2017-09-30,3.6
2017-10-07,4.333333333333333
2017-10-14,3.875
2017-10-21,4.0
2017-10-28,3.8333333333333335
2017-11-04,3.125
2017-11-11,4.0
2017-11-18,4.666666666666667
2017-11-25,4.166666666666667
2017-12-02,4.2
2017-12-09,4.2
2017-12-16,4.0
2017-12-23,3.6
2017-12-30,3.6666666666666665
2018-01-06,4.666666666666667
2018-01-13,4.5
2018-01-20,3.25
2018-01-27,4.0
2018-02-03,4.25
2018-02-10,3.857142857142857
2018-02-17,4.125
2018-02-24,4.0
2018-03-03,4.8
2018-03-10,3.5
2018-03-17,4.25
2018-03-24,4.428571428571429
2018-03-31,3.3333333333333335
2018-04-07,4.0
2018-04-14,3.25
2018-04-21,4.0
2018-04-28,1.0
2018-05-05,4.0
2018-05-12,4.0
2018-05-19,5.0
2018-05-26,3.3333333333333335
2018-06-02,4.6
2018-06-09,3.3333333333333335
2018-06-16,3.6666666666666665
2018-06-23,4.0
2018-06-30,3.0
2018-07-07,4.0
2018-07-14,4.5
2018-07-21,4.0
2018-07-28,3.6666666666666665
2018-08-04,4.4
2018-08-11,4.2
2018-08-18,4.0
2018-08-25,4.0
2018-09-01,4.0
2018-09-08,2.5
2018-09-22,4.0
2018-09-29,4.5
2018-10-06,1.5
2018-10-13,3.5
2018-10-20,4.0
2018-10-27,4.5
2018-11-03,3.8333333333333335
2018-11-10,4.666666666666667
2018-11-17,4.5
2018-12-01,4.5
2018-12-08,3.75
2018-12-15,4.0
2018-12-22,4.0
2018-12-29,5.0
2019-01-05,4.4
2019-01-12,3.5
2019-01-19,4.4
2019-01-26,4.0
2019-02-02,4.5
2019-02-09,3.6
2019-02-16,4.888888888888889
2019-02-23,4.333333333333333
2019-03-02,4.0
2019-03-09,3.8
2019-03-16,4.5
2019-03-23,4.0
2019-03-30,4.0
2019-04-06,3.75
2019-04-13,5.0
2019-04-20,4.0
2019-04-27,3.5
2019-05-04,5.0
2019-05-11,4.666666666666667
2019-05-18,4.0
2019-05-25,3.5
2019-06-01,4.666666666666667
2019-06-08,4.5
2019-06-15,3.75
2019-06-22,3.6666666666666665
2019-06-29,3.6666666666666665
2019-07-06,3.6666666666666665
2019-07-13,2.6666666666666665
2019-07-20,3.3333333333333335
2019-07-27,5.0
2019-08-03,3.0
2019-08-10,5.0
2019-08-17,4.0
2019-08-24,2.5
2019-08-31,4.0
2019-09-07,4.2
2019-09-14,5.0
2019-09-21,3.75
2019-09-28,4.666666666666667
2019-10-05,5.0
2019-10-12,5.0
2019-10-26,3.75
2019-11-02,2.5
2019-11-09,3.75
2019-11-16,4.6
2019-11-23,3.3333333333333335
2019-11-30,4.5
2019-12-07,4.0
2019-12-14,5.0
2019-12-21,3.0
2019-12-28,4.666666666666667
2020-01-04,4.333333333333333
2020-01-11,4.428571428571429
2020-01-18,4.05
2020-01-25,4.8
2020-02-01,4.125
2020-02-08,4.2
2020-02-15,3.1538461538461537
2020-02-22,2.857142857142857
2020-02-29,3.625
2020-03-07,4.857142857142857
2020-03-14,4.428571428571429
2020-03-21,4.5
2020-03-28,5.0
2020-04-04,4.5
2020-04-11,4.5
2020-04-18,3.0
2020-04-25,4.0
2020-05-02,5.0
2020-05-09,4.5
2020-05-16,4.5
2020-05-23,5.0
2020-05-30,5.0
2020-06-06,3.5
2020-06-13,4.0
2020-06-20,4.333333333333333
2020-06-27,5.0
2020-07-04,4.5
2020-07-11,5.0
2020-07-18,4.5
2020-07-25,4.666666666666667
2020-08-01,4.5
2020-08-08,5.0
2020-08-15,5.0
2020-08-22,2.3333333333333335
2020-08-29,4.5
2020-09-05,4.0
2020-09-12,3.25
2020-09-19,5.0
2020-09-26,5.0
2020-10-03,5.0
2020-10-10,3.5
2020-10-17,4.166666666666667
2020-10-24,4.5
2020-10-31,4.666666666666667
2020-11-07,3.6666666666666665
2020-11-14,3.6666666666666665
2020-11-21,4.5
2020-11-28,2.5
2020-12-05,4.666666666666667
2020-12-12,5.0
2020-12-26,4.2
2021-01-02,4.75
2021-01-09,3.5
2021-01-16,4.0
2021-01-23,5.0
2021-01-30,3.8
2021-02-06,4.0
2021-02-13,4.666666666666667
2021-02-20,5.0
2021-02-27,3.8
2021-03-06,3.25
2021-03-13,3.0
2021-03-20,4.2
2021-03-27,4.666666666666667
2021-04-03,4.666666666666667
2021-04-17,4.666666666666667
2021-04-24,3.75
2021-05-01,3.6
2021-05-08,4.2
2021-05-15,4.0
2021-05-22,5.0
2021-05-29,4.0
2021-06-05,5.0
2021-06-12,4.444444444444445
2021-06-19,3.5
2021-06-26,3.4
2021-07-03,4.75
2021-07-10,4.0
2021-07-17,4.0
2021-07-24,3.0
2021-07-31,4.0
2021-08-07,4.6
2021-08-14,3.6
2021-08-21,3.4285714285714284
2021-08-28,3.0
2021-09-04,3.5
2021-09-11,3.5
2021-09-18,4.666666666666667
2021-09-25,4.0
2021-10-02,3.6666666666666665
2021-10-09,5.0
2021-10-16,5.0
2021-10-23,4.5
2021-10-30,3.6666666666666665
2021-11-06,3.6666666666666665
2021-11-13,3.5
2021-11-20,4.5
2021-11-27,5.0
2021-12-04,4.5
2021-12-11,3.5
2021-12-18,4.0
2021-12-25,3.0
2022-01-01,4.0
2022-01-08,3.4
2022-01-15,4.0
2022-01-22,5.0
2022-01-29,4.166666666666667
2022-02-05,5.0
2022-02-12,5.0
2022-02-19,4.2
2022-02-26,4.4
2022-03-05,4.3
2022-03-12,3.0
2022-03-19,3.857142857142857
2022-03-26,4.0
2022-04-02,3.8333333333333335
2022-04-09,4.2
2022-04-16,3.4285714285714284
2022-04-23,3.0
2022-04-30,4.0
2022-05-07,3.875
2022-05-14,3.2
2022-05-21,4.5
2022-05-28,3.75
2022-06-04,4.125
2022-06-11,3.5714285714285716
2022-06-18,4.444444444444445
2022-06-25,3.375
2022-07-02,4.0
2022-07-09,4.0
2022-07-16,4.5
2022-07-23,4.166666666666667
2022-07-30,4.0
2022-08-06,3.8
2022-08-13,3.5555555555555554
2022-08-20,4.0
2022-08-27,3.25
2022-09-03,4.7
2022-09-10,4.5
2022-09-17,4.545454545454546
2022-09-24,4.142857142857143
2022-10-01,4.25
2022-10-08,4.285714285714286
2022-10-15,4.533333333333333
2022-10-22,3.769230769230769
2022-10-29,4.0
2022-11-05,4.090909090909091
2022-11-12,3.4
2022-11-19,4.333333333333333
2022-11-26,4.666666666666667
2022-12-03,5.0
2022-12-10,4.0
2022-12-17,3.6363636363636362
2022-12-24,4.2
2022-12-31,4.0
2023-01-07,3.875
2023-01-14,3.2
2023-01-21,3.3
2023-01-28,4.166666666666667
2023-02-04,4.368421052631579
2023-02-11,4.083333333333333
2023-02-18,4.363636363636363
2023-02-25,4.045454545454546
2023-03-04,2.7142857142857144
2023-03-11,3.6363636363636362
2023-03-18,3.4545454545454546
2023-03-25,4.166666666666667
2023-04-01,3.75
2023-04-08,3.6666666666666665
2023-04-15,4.5
2023-04-22,3.8333333333333335
2023-04-29,4.0
2023-05-06,2.8333333333333335
2023-05-13,4.333333333333333
2023-05-20,4.2
2023-05-27,4.0
2023-06-03,3.4
2023-06-10,4.4
2023-06-17,4.333333333333333
2023-06-24,3.888888888888889
2023-07-01,2.6
2023-07-08,4.0
2023-07-15,3.857142857142857
2023-07-22,4.333333333333333
2023-07-29,4.0625
2023-08-05,3.3333333333333335
2023-08-12,1.5
2023-08-19,3.2857142857142856
2023-08-26,4.222222222222222
2023-09-02,4.5
2023-09-09,4.142857142857143
